"Date","Cases","Cumul"
2019-12-10,1,1
2019-12-11,1,2
2019-12-12,3,5
2019-12-13,1,6
2019-12-14,0,6
2019-12-15,3,9
2019-12-16,3,12
2019-12-17,5,17
2019-12-18,5,22
2019-12-19,3,25
2019-12-20,11,36
2019-12-21,4,40
2019-12-22,5,45
2019-12-23,14,59
2019-12-24,8,67
2019-12-25,17,84
2019-12-26,8,92
2019-12-27,16,108
2019-12-28,14,122
2019-12-29,12,134
2019-12-30,20,154
2019-12-31,15,169
2020-01-01,41,210
2020-01-02,34,244
2020-01-03,40,284
2020-01-04,23,307
2020-01-05,47,354
2020-01-06,40,394
2020-01-07,49,443
2020-01-08,91,534
2020-01-09,70,604
2020-01-10,115,719
2020-01-11,113,832
2020-01-12,135,967
2020-01-13,178,1145
2020-01-14,185,1330
2020-01-15,281,1611
2020-01-16,293,1904
2020-01-17,363,2267
2020-01-18,389,2656
2020-01-19,416,3072
2020-01-20,797,3869
2020-01-21,807,4676
2020-01-22,1019,5695
2020-01-23,1293,6988
2020-01-24,1348,8336
2020-01-25,1345,9681
2020-01-26,1424,11105
2020-01-27,1377,12482
2020-01-28,1402,13884
2020-01-29,1167,15051
